company_id,cluster_id,cluster_name,distance_from_centroid
KOTAKBANK,2,Asset-Light Quality (does not fit spec's 5 example archetypes -- flag for team lead),1.5319352190825555
LICI,0,Emerging Growth,3.1730170112697267
LODHA,1,Defensive / Steady Compounders,2.118600598902816
LT,4,High-Quality Compounders,1.1121272049910709
LTIM,0,Emerging Growth,2.0736980407453163
M&M,1,Defensive / Steady Compounders,0.6299524696058205
MARUTI,1,Defensive / Steady Compounders,0.5234967454525761
MOTHERSON,1,Defensive / Steady Compounders,0.9815002657797044
NAUKRI,0,Emerging Growth,1.4105805087707604
NESTLEIND,4,High-Quality Compounders,3.080507850960934
NHPC,1,Defensive / Steady Compounders,2.180788604188708
NTPC,1,Defensive / Steady Compounders,0.740549039045113
ONGC,1,Defensive / Steady Compounders,0.3143823818287476
PFC,3,Value Cyclicals,1.36857110865099
PIDILITIND,1,Defensive / Steady Compounders,0.6584099033787042
PNB,4,High-Quality Compounders,1.8908797516560738
POWERGRID,2,Asset-Light Quality (does not fit spec's 5 example archetypes -- flag for team lead),1.7499619283262613
RECLTD,3,Value Cyclicals,1.9490301511399417
RELIANCE,1,Defensive / Steady Compounders,0.48869387596306035
SBILIFE,0,Emerging Growth,1.1429956835262354
SBIN,0,Emerging Growth,1.8396712051278339
SHREECEM,1,Defensive / Steady Compounders,0.7007336594815544
SHRIRAMFIN,0,Emerging Growth,1.0741632243412145
SIEMENS,1,Defensive / Steady Compounders,1.8413765780276714
SUNPHARMA,1,Defensive / Steady Compounders,1.3644529918742652
TATACONSUM,0,Emerging Growth,1.7898979051992865
TATAMOTORS,1,Defensive / Steady Compounders,1.3277850830730888
TATAPOWER,0,Emerging Growth,0.585438154027963
TATASTEEL,1,Defensive / Steady Compounders,1.4138876339394832
TCS,4,High-Quality Compounders,1.242277543281526
TECHM,1,Defensive / Steady Compounders,0.6661031225157221
TITAN,0,Emerging Growth,1.8785286083534714
TORNTPHARM,1,Defensive / Steady Compounders,0.6169840519945906
TRENT,0,Emerging Growth,2.710139214874199
TVSMOTOR,0,Emerging Growth,1.3300510498716513
